	Prec (mm)
2000-01-01	3.8626943248887518
2000-01-02	3.368332946252628
2000-01-03	1.5614650854612766
2000-01-04	0.9143394291742338
2000-01-05	1.763495621520389
2000-01-06	7.669423775262258
2000-01-07	7.239692770499
2000-01-08	2.1084251109395873
2000-01-09	2.447523250621552
2000-01-10	1.6166800683354952
2000-01-11	5.334182979658243
2000-01-12	7.725446778458728
2000-01-13	13.851336056961607
2000-01-14	12.330223923200272
2000-01-15	5.230602764146546
2000-01-16	1.155076773868114
2000-01-17	0.3708615515960936
2000-01-18	6.0776125402738
2000-01-19	3.95146291494499
2000-01-20	1.264858456691033
2000-01-21	0.281626924731118
2000-01-22	0.022339628710616788
2000-01-23	0.12492353338448978
2000-01-24	0.7124689081671491
2000-01-25	1.6142206554969956
2000-01-26	1.590787241525295
2000-01-27	0.1991082175149395
2000-01-28	0.030121854821615918
2000-01-29	0.007679340966028197
2000-01-30	0.059199933730868376
